"PNU코드(PNU)","기준년월(KEYMONTH)","표제부_키코드(PKCODE1)","전유부_키코드(PKCODE2)","대상지주소(ADDRESS)","자치구코드(SREG)","법정동코드(SEUB)","대지구분(DAEJI)","본번(BUNJI1)","부번(BUNJI2)","건물이름(BLDNAME)","건물(동)이름(DONGNAME)","호_이름(HONAME)","건축연도(BLDCONYEAR)","본건_사례수(PRED_BON_CNT)","주변건_사례수(PRED_SARE_CNT)","면적대비_전세시세(DEPO_AREA_PRED)","예측_전세시세(DEPO_PRED)"
"1168010500101000015","202007","11740-100288282","11305-77634","서**별**송** **동**6**번**","11470","10500","1","1006","34","킹*에*뉴*","","301","2009",5,7,438.07,22390
"1159010900106900006","202003","11305-28837","11380-47161","서**별**종** **3**1**7**","11740","10700","1","546","3","","","202","2021",3,12,685.94,12443
"1132010700106630006","202007","11470-8889","11500-100279669","서**별**중**신** **5**번**","11110","10200","1","156","47","삼*빌*","다우스카이빌","501","2002",3,13,677.36,20211
"1147010200107190001","202009","11260-100203794","11710-100538024","서**별**중** **동**9**1**","11530","13800","1","337","8","예*빌","","404호","2017",5,21,499.93,42155
"1153010900102800005","202103","11590-22544","11470-88998","서**별**강** **동**3**2**지**","11650","10100","1","103","75","행*아*빌","A동","301","2020",3,57,715.06,17710
"1150010300100240110","202104","11380-36689","11380-68403","서**별**강** **동**9**4**","11620","10300","1","279","2","","101동","501","1998",4,57,398.81,18481
"1138010400102430031","202105","11680-19095","11740-60854","서**별**강** **동**5**5**","11545","10100","1","421","6","뉴*인*","","403호","2012",2,20,431.61,13493
"1171011400102020021","202001","11680-13703","11545-100228126","서**별**관** **동**7**-**지**","11380","17100","1","12","39","","","302","1993",5,88,621.74,12849
"1154510200109800006","202010","11215-27364","11380-115592","서**별**관** **동**1**3**번**","11620","10200","1","29","37","","","2층202호","2002",0,16,289.44,18100
"1162010100108960005","202007","11590-24336","11230-100226685","서**별**강** **동**1**1**지**","11680","10800","1","256","3","","","101","1989",0,10,645.01,40195
"1138010500103090047","202004","11620-23647","11545-70858","서**별**성** **동**9**1**지**","11290","10500","1","346","3","해*빌*","102동","302","1985",2,5,200.49,18791
"1171010700101680008","202003","11530-100242381","11620-125023","서**별**서** **동**9**2**지**","11290","10300","1","123","176","","","501","2004",2,36,675.97,19646
"1138010700101220034","202005","11215-100231247","11545-42233","서**별**강** **동**1**3**지**","11170","13600","1","143","20","조*휴*슬","가동","2층203호","1996",6,8,264.99,25236
"1174010800104090005","202007","11545-100214337","11530-100212660","서**별**광** **동**1**1**지**","11260","12400","1","976","0","","","201","1991",0,65,729.64,12042
"1132010700105820074","202002","11380-100230485","11440-100185757","서**별**강** **동**7**1**","11710","10700","1","5","52","남*아*빌","천일타운B동","401","2014",1,12,1095.24,20023
"1171010500100540020","202001","11710-23268","11710-100473443","서**별**강** ** **2**번**","11530","10300","1","70","41","성*뜨*채","","101","2020",2,136,592.69,19503
"1114016200101650039","202009","11710-100464122","11200-91148","서**별**마** **동**7**1**지**","11590","10200","1","43","39","","","201","1990",1,23,524.57,11509
"1174010900101670002","202103","11110-16760","11320-100196451","서**별**노** **동**2**","11545","10200","1","389","22","","1","501","2012",1,30,484.62,12113
"1121510100101470206","202011","11560-3175","11380-115807","서**별**강** **동**9**1**지**","11620","10200","1","51","31","","","301호","2011",0,12,519.45,18419
"1159010300104020001","202103","11620-34451","11260-100230050","서**별**서** **동**4**1**번**","11380","12500","1","1","223","드*빌","","401호","2002",0,22,350.04,19636
"1114016200103040199","202103","11710-17403","11740-95769","서**별**성** **동** **-**번**","11380","10300","1","360","7","도*빌*","","304호","2004",0,10,798.87,23483
"1174010700104930029","202101","11440-100245111","11380-54681","서**별**강** **동**9**1**8**","11680","12000","1","925","166","대*동*세*주*","8동","201","1994",2,11,755.06,18382
"1168010300111700001","202011","11440-100197691","11260-100217422","서**별**서** **동**7**번**","11260","10900","1","314","14","제*스*빌","","202호","2004",7,87,310.59,12675
"1117010200100050948","202003","11545-10016","11650-92402","서**별**송** **동**3**2**","11500","10100","1","956","120","금*아*빌","","201","1995",0,1,519.05,28575
"1141012000103240029","202002","11740-100229469","11140-67860","서**별**동** **동**9**2**지**","11590","10400","1","626","7","","씨동","303","2007",2,58,528.26,19504
"1153010200107400016","202105","11500-100206450","11380-100209470","서**별**양** ** **4**","11320","10700","1","387","6","","","201호","2012",1,33,260.97,14417
"1144012500100810080","202105","11380-11709","11680-180690","서**별**종** **동**7**번**","11140","10300","1","272","7","라*빌*","","제314호","2016",0,5,282.67,25574
"1129011100102170000","202012","11320-8328","11440-103203","서**별**성** **동** **2**번**","11380","13300","1","963","29","다*대*택","문성빌라","402","1995",40,21,333.86,20425
"1120011500102990174","202103","11740-4394","11500-84367","서**별**양** ** **4**0**","11410","10200","1","865","301","","A동","402","1993",0,46,462.29,18279
"1135010300102380020","202004","11710-14715","11470-125374","서**별**강** **동**1**-**지**","11620","11800","1","81","4","아*나*리*2*","","102","2002",2,10,469.06,18593
"1126010300101580049","202002","11320-100205383","11620-100224462","서**별**강** **동**-**1**","11740","10100","1","321","3","삼*하*츠*","","301호","2007",5,13,693.46,31045
"1154510200102340016","202105","11680-13758","11440-100522","서**별**은** **동**2**5**지**","11545","10500","1","610","412","","","501","1996",0,11,856.72,21278
"1147010300109470001","202006","11470-100223542","11590-53655","서**별**중** **동**8**1**지**","11305","10100","1","649","14","","","201","1989",0,6,260.68,20501
"1171010600101050000","202005","11305-14209","11620-100196807","서**별**용** **원**6**번**","11500","10600","1","608","107","","A동","504호","2002",7,19,333.35,15330
"1150010300109060010","202003","11440-100275383","11380-90550","서**별**중** ** **4**","11230","10500","1","57","27",".","","602","2013",4,11,321.89,13241
"1130510200104170059","202102","11305-100182404","11710-65415","서**별**서** **동**8**3**지**","11470","10500","1","253","4","","102동","303","2012",1,7,302.71,10749
"1138010200100980043","202101","11140-21874","11545-100224461","서**별**강** **동**1**1**지**","11500","10100","1","427","2","","","502","2014",30,37,423.52,12162
"1159010200102440239","202103","11680-13826","11620-100204352","서**별**은** **동**6**2**지**","11170","10300","1","270","5","썬*우*","주건축물제1동","201","2001",0,15,509.62,17640
"1174010500101440000","202003","11530-19831","11680-203518","서**별**강** **동**4**9**지**","11650","10800","1","279","14","대*풀*우*","","202호","2014",5,7,284.94,18941
"1129013600100900285","202009","11560-35437","11260-100223936","서**별**성** **동**0**1**번**","11590","10200","1","36","0","","","202","2002",8,263,418.18,25483
"1159010300103230002","202004","11470-100181904","11650-26633","서**별**노** **동**4**6**지**","11500","10800","1","263","1","소*리*상*","","302호","1980",0,61,550.82,19245
"1147010300105340013","202103","11470-13109","11470-100227220","서**별**송** **동**3**1**지**","11500","10100","1","678","0","G* *A*L*R*","A동","201","2007",0,17,237.49,23870
"1132010500101030036","202008","11320-13610","11470-74375","서**별**구** ** **0**1**지**","11215","10100","1","394","11","","","302","2014",0,21,381.11,9390
"1174010700104450031","202010","11320-100203256","11305-100201088","서**별**동** **동**2**1**","11260","10300","1","401","71","","","301호","2013",1,11,831.67,15872
"1174010700104770041","202104","11290-39429","11680-100240729","서**별**동** **1**3**-**지**","11260","10400","1","226","28","성*하*츠*","","303","2017",0,1,397.08,23923
"1162010100115950020","202002","11620-30519","11710-100527377","서**별**동** **동**8**1**지**","11740","10100","1","419","16","","","301호","2003",1,22,430.38,27629
"1121510100100980005","202010","11215-100221598","11290-123001","서**별**금** **동**0**-**번**","11470","10500","1","13","24","","","301호","1995",0,9,324.66,15902
"1171010300102210001","202009","11380-37294","11305-41201","서**별**마** **동**2**1**지**","11380","11100","1","74","10","S*U*I*상*1*","","401","2010",1,35,442.79,35688
"1171010600100980000","202009","11680-100301823","11290-100262217","서**별**양** ** **8**6**지**","11320","10500","1","556","5","","","204","2013",0,31,514.47,19928
"1121510500102250044","202007","11260-100246330","11305-100196723","서**별**송** **동**6**7**","11440","10700","1","1496","0","에*빌*1*차","주건축물제1동","202","1995",6,7,358.58,23462
"1130510300104350042","202006","11380-100244445","11470-100982","서**별**성** **동** **7**0**","11560","10500","1","236","12","강*리*스*운","","302","1990",0,16,283.72,17337
"1154510200109440000","202010","11380-33263","11215-100246445","서**별**강** **동**6**4**지**","11680","10600","1","494","1","중*빌*차","","302","2016",2,6,675.81,27861
"1117010900100010014","202102","11440-24340","11350-152318","서**별**강** **동**0**-**번**","11410","10500","1","149","230","우*하*스","","502","2002",1,17,381.42,22690
"1123010700108710000","202101","11560-100244777","11290-49362","서**별**서** **동**1**1**지**","11215","10100","1","36","378","",".","201","1994",1,24,433.25,15318
"1165010700100500015","202103","11500-100307112","11410-88027","서**별**마** **동**2**2**지**","11260","10200","1","298","19","","부영아트빌","602","2016",5,6,268.47,16106
"1174010900103630014","202003","11470-100222307","11215-73287","서**별**금** **동**9**4**지**","11140","10300","1","105","121","대*아*빌","","501","1996",41,5,615.35,17184
"1156010500101670001","202102","11260-13236","11290-100223407","서**별**금** **동**5**1**지**","11290","10300","1","300","38","","","303","1996",1,13,814.79,22898
"1130510200101480455","202012","11305-100202281","11110-33791","서**별**강** **동**1**8**지**","11470","10300","1","200","46","","","202","1980",3,81,606.88,22535
"1126010400101260052","202105","11170-100202525","11410-100190292","서**별**마** **동**-**번**","11620","10500","1","73","7","","","402","2002",2,53,308.45,29969
"1144012300104190023","202007","11680-100216529","11380-100265509","서**별**동** **동**7**4**번**","11410","10100","1","559","16","성*스*팰*스","비동","702","1993",2,29,220.78,13698
"1150010300100500036","202010","11380-100196173","11710-100517865","서**별**구** **동**5**1**지**","11740","10800","1","419","4","","","1층101호","1988",2,12,304.86,18062
"1159010200102640175","202102","11380-100256578","11740-100185464","서**별**강** **동**0**-**지**","11440","13100","1","39","3","","","104호","1986",5,28,291,15662
"1135010500104070035","202010","11110-24857","11545-71307","서**별**강** **동**9**0**","11500","10600","1","1507","58","한*팰*스","","602","2003",0,4,537.79,15592
"1150010300100560061","202004","11320-4797","11710-100481929","서**별**송** **동**2**7**","11680","10200","1","575","2","","","302","2017",0,28,313.74,17167
"1114016200104320398","202104","11320-100193074","11590-56900","서**별**관** **동**0**2**번**","11590","10300","1","564","6","그* *우*","","202호","2013",0,4,566.19,18209
"1144012200104260011","202009","11740-13651","11260-57959","서**별**구** **동**5**8**","11740","13300","1","136","114","해*루","","2층2호","2008",274,31,279.75,30672
"1138010700100960006","202001","11200-24311","11410-95025","서**별**성** **동**3**3**지**","11380","13200","1","227","43","삼*베*트*","","102","2000",1,1,585.76,28185
"1111010900100790001","202103","11440-100265584","11110-69531","서**별**관** **동**0**9**","11260","10300","1","330","8","","","403","2012",1,33,669.6,13998
"1171010700101750024","202012","11650-100260714","11545-49222","서**별**구** **동**3**번**","11305","10500","1","285","35","골*빌","","301호","2016",1,7,636.9,11033
"1126010100106050002","202009","11380-36985","11350-196839","서**별**강** **동**1**9**","11230","10100","1","4","13","","B동","401호","2012",2,8,490.76,14954
"1126010100101570062","202005","11545-17771","11500-89625","서**별**은** **동**2**4**지**","11260","10700","1","173","134","성*쉐*빌","가동","202호","2019",0,39,448.03,13316
"1150010300103460163","202007","11260-100194354","11710-100473148","서**별**강** **동**9**1**","11590","10200","1","315","0","","","102호","2002",3,90,324.37,24877
"1147010300101570037","202008","11710-11963","11470-84609","서**별**마** **동**1**2**지**","11500","10400","1","342","27","","","401","2010",0,6,243.06,21619
"1126010400102450024","202008","11380-21787","11320-100215026","서**별**서**구**은**3**-**번**","11110","10100","1","83","1","제*제*캐*","","201","2013",12,3,583.39,16894
"1144012600102430000","202001","11500-28394","11440-100198437","서**별**은** **동**4**3**지**","11710","10900","1","40","62","","","301","2016",0,5,720.23,23040
"1162010100108880001","202001","11470-5152","11545-100212424","서**별**서**구**가** **3**지**","11500","10200","1","385","53","마*그*필","","303","2015",1,6,474.38,17531
"1171010600100910005","202006","11320-8431","11380-100274576","서**별**광** **동**8**3**지**","11500","10300","1","123","16","성*스*팰*스","","302","2021",11,10,380.81,18091
"1159010500101980061","202010","11680-100234789","11440-112685","서**별**서** **동**3**2**지**","11440","10300","1","557","30","","","401","2018",0,13,233.88,38062
"1121510500106800075","202005","11380-36820","11530-39824","서**별**은** **동**3**1**","11215","10300","1","347","32","","","308호","2016",9,44,724.61,20499
"1150010300108330018","202006","11410-100194131","11470-100234658","서**별**은** **동**7**번**","11215","10200","1","410","5","명*빌*지","현영빌라3차","102호","1992",2,36,320.94,13279
"1141011800101910219","202012","11530-3617","11320-100199048","서**별**광** **동**8**1**지**","11410","11500","1","311","47","","","301","2003",2,14,299.85,17418
"1150010200103650172","202006","11680-19842","11590-51276","서**별**송** **동**7**8**","11620","12000","1","419","3","선*하*츠","나동","601","2018",5,16,994.21,12323
"1126010100100100002","202005","11320-100211615","11260-100209570","서**별**성** **동** **9**","11380","10500","1","516","0","프*임*슬","","303","2014",0,91,581.62,16165
"1174010800103960015","202104","11650-13670","11620-100265389","서**별**성** **동**7**2**","11440","10900","1","715","12","스*이*","","501","1993",0,14,429.81,23186
"1165010100100120002","202007","11710-7753","11320-100199193","서**별**강** **동**9**2**지**","11590","10400","1","44","8","","","401","1995",4,42,708.18,10358
"1150010300103520022","202007","11710-19323","11710-98656","서**별**강** **동**3**5**지**","11590","10300","1","300","214","진*하*빌","","304","1992",0,8,327.31,23781
"1132010600106880022","202010","11305-100211921","11530-105747","서**별**동** **동**4**1**번**","11215","10200","1","683","16","","","502","2001",2,48,257.2,33703
"1168010800102700025","202101","11380-100265085","11410-95230","서**별**종** **동**2**4**지**","11305","11900","1","494","0","힐*하*스","","301","1997",10,48,446.29,13475
"1171010400100100004","202006","11710-100179507","11590-100240525","서**별**중** **동**0**2**지**","11470","10300","1","774","17","인*넥*빌*차","","201","2003",4,19,299.04,69294
"1130510200104580054","202003","11620-7165","11680-60958","서**별**용** **로** **-**지**","11680","10200","1","198","127","반*빌*","","403","2019",0,28,410.05,31564
"1141011800100090213","202008","11590-16810","11410-70458","서**별**도** **동**3**4**지**","11305","10700","1","583","397","","","1층101호","2004",1,45,609.81,13137
"1153010800100580001","202101","11320-100214764","11305-100222481","서**별**광** **동**0**6**지**","11620","10200","1","673","60","","한백리츠빌","302","2018",0,149,352.12,15254
"1130510300107030024","202001","11320-100194207","11410-90822","서**별**마** **동**2**2**","11710","10200","1","447","95","제*플*스","","401","2003",0,21,837.37,30717
"1114016200104150017","202007","11380-5886","11530-38632","서**별**구** **동**3**6**지**","11500","10100","1","224","1","주*그*빌","","302호","2014",0,4,558.38,14913
"1129011500102990003","202005","11440-100262886","11710-100506050","서**별**양** ** **8**0**지**","11710","10600","1","347","11","성*하*츠","","302","2002",0,5,558.48,22999
"1150010300103690067","202104","11500-100224215","11470-100216679","서**별**강** **동**5**3**지**","11170","10300","1","1502","7","신*리*스*","","302","1989",1,11,357.69,20737
"1126010400102470051","202005","11530-100187204","11530-57934","서**별**용** **동**-**지**","11410","11500","1","37","26","화*빌*","","301호","1991",1,11,911.26,30250
"1156011600100090001","202004","11590-100228425","11620-100218862","서**별**광** **동**4**2**","11380","10300","1","341","40","아*톤*라*에*동*","","302","1996",7,19,379.8,22002
"1121510500107740011","202101","11500-5049","11620-86902","서**별**동**구**안**1**-**번**","11545","10300","1","902","6","","","701","2020",4,24,659.97,16596
"1168010800102220008","202001","11470-12096","11620-107061","서**별**송** **동**2**8**","11710","11900","1","321","50","","","203","2001",1,26,324.27,22187
"1120010800101930100","202008","11590-100181425","11380-55376","서**별**마** **동**1**지**","11500","10300","1","242","25","","","1층 나","2003",0,16,264.47,20240
"1171010800100480004","202105","11470-6515","11470-100184534","서**별**강** **동**7**지**","11500","11700","1","5","0","","6동","402","2017",0,54,355.96,23149
"1130510300104510058","202003","11530-3608","11650-100249633","서**별**동** **동**3**1**","11380","10600","1","29","15","","","1층202","2002",0,18,791.03,23147
"1159010200102790149","202009","11710-6341","11410-90758","서**별**강** **동**4**1**","11650","10100","1","391","99","그*빌","104동","201","2008",0,9,750.78,18156
"1121510100102420028","202001","11590-10831","11620-100261874","서**별**구** ** **4**7**","11410","10100","1","1037","23","","","204호","1992",0,47,649.41,21129
"1123010400101030025","202005","11590-100249050","11410-100212310","서**별**영**구**산**1**-**1**","11260","10300","1","597","17","","C동","301","2016",12,17,256.53,24578
"1150010300108810016","202103","11260-13194","11545-100255894","서**별**관** **동**8**7**지**","11470","11300","1","147","7","","","201호","2012",3,55,283.86,18621
"1132010500102970008","202011","11380-21856","11110-53610","서**별**강** **동**9**1**","11380","10800","1","88","94","","","3층301","2006",0,22,293.27,24698
"1174010900101370013","202006","11650-17406","11305-100220849","서**별**강** **동**7**1**","11260","10300","1","595","38","계*하*빌","","201호","1992",1,34,740.39,6829
"1144012300105190000","202001","11500-12262","11440-89410","서**별**은** **동**0**1**번**","11440","11500","1","10","1","","3동","302","1996",5,6,562.36,22719
"1171010500102230011","202001","11500-11941","11200-65401","서**별**광** **동**9**3**지**","11305","12700","1","26","80","남*쉐*빌*동","","303호","2016",2,6,679.16,23580
"1168010100107500006","202009","11110-19047","11500-167694","서**별**동**구**안**3**-**지**","11470","10800","1","100","10","","","202","1993",1,32,249.87,22908
"1120011100113220001","202105","11530-15220","11710-100241934","서**별**용** **동**4**3**지**","11215","10500","1","286","5","","","401호","2001",1,23,294.31,27319
"1150010300101050099","202004","11410-100194570","11380-100222665","서**별**송** **동**2**2**지**","11500","10200","1","735","260","","","301","2010",0,3,1099.48,18280
"1126010100105770001","202004","11545-16913","11680-100182045","서**별**관** **동**1**4**지**","11530","10800","1","103","9","","정광","301","2011",3,7,225.33,47849
"1126010500104230028","202003","11215-14400","11530-63339","서**별**강** **동**3**4**지**","11740","10400","1","300","3","","","101호","1995",7,18,1008.72,21035
"1121510900103520007","202006","11500-100258467","11560-100197459","서**별**도** **동**2**1**번**","11545","17500","1","105","15","상*빌*1","104","501","1993",6,10,498.75,23621
"1171011200101120008","202004","11440-31999","11710-100455272","서**별**양** **동**1**5**","11410","10600","1","156","23","e*환*세*","","1층104호","2003",0,15,672.23,17698
"1168010100107040020","202007","11440-29593","11305-80303","서**별**금** **동**7**2**번**","11500","11100","1","128","21","마*M*운*1*1","","201","2014",2,8,471.9,15326
"1138010200101760025","202008","11410-100201201","11290-107557","서**별**송** **동**1**지**","11305","10100","1","312","47","효*주*","경남그린하우스","201호","1997",0,52,287.08,28887
"1165010100104650002","202008","11380-32966","11410-100208504","서**별**강** **동**7**8**","11305","10900","1","9","0","해*치*","","202호","2011",0,4,661.51,17667
"1121510900103560018","202002","11530-8830","11170-65274","서**별**강** **동**3**번**","11380","10300","1","500","1981","","2동","502","1993",1,12,251.67,24081
"1159010200103610012","202005","11320-100216194","11560-100225701","서**별**용** **동**4**1**번**","11530","11800","1","366","33","주*해*빌","","203","2002",1,28,246.21,19726
"1171011400103600013","202012","11170-23296","11500-100199587","서**별**광** **동**2**4**","11305","10700","1","1041","141","부*끄*","108동","302","2016",0,9,866.29,23357
"1174010800104570021","202101","11740-100244464","11440-87151","서**별**성** **동**0**1**","11680","10400","1","477","12","","","1층102","1986",0,3,501.36,7157
"1121510100102530028","202011","11230-100214533","11380-57033","서**별**서** **동**3**9**","11440","10300","1","252","75","","가동","2층1호","2009",19,27,568.01,22671
"1126010200101270042","202103","11410-21887","11530-105781","서**별**강** **동**3**3**지**","11380","10500","1","176","10","연*주*","","501호","2008",2,9,600.9,20373
"1141011900103390010","202012","11350-100217668","11590-68702","서**별**중** **동**2**4**지**","11440","10100","1","442","46","","","501","1988",0,20,559.11,11998
"1130510300100010032","202012","11440-22610","11215-100227733","서**별**종** **동**1**번**","11710","10200","1","45","39","","","202","2002",3,5,499.41,18791
"1147010300105430010","202008","11740-100204026","11410-88423","서**별**영**구**림**7**-**번**","11545","10500","1","2","8","","","602","1986",1,123,303.97,20428
"1153010700102880013","202008","11530-3396","11440-86472","서**별**동**구**기**1**8**8**","11680","10100","1","148","1","써*트*","","401","2003",0,21,312.14,30330
"1168011800104560012","202009","11320-100195644","11710-100497041","서**별**광** **동**9**3**","11620","10200","1","4427","468","","","304호","1996",0,23,780.84,17025
"1168010500100360016","202103","11305-29526","11470-85723","서**별**서** **동**2**3**","11440","10700","1","767","15","","영펠리스","3층302호","2003",1,25,582.47,10746
"1130510100107911487","202101","11680-4297","11470-69617","서**별**강** **동**9**1**지**","11230","10200","1","434","134","대*빌*6*","","201","2018",0,55,258.51,14115
"1138011000101840012","202012","11530-14734","11470-73599","서**별**강** **동**5**2**지**","11500","11100","1","108","133","","102동","405","2011",0,17,589.67,18202
"1171011100101460000","202012","11710-20023","11710-100229597","서**별**강** **동**6**8**지**","11170","10100","1","2","1","","","101호","2014",12,29,239.75,31079
"1159010200102100246","202006","11560-100229396","11560-114773","서**별**영**구**길**1**-**지**","11380","13200","1","508","3","","","103","2014",3,0,396.1,27139
"1121510100102430031","202003","11290-44074","11410-74067","서**별**구** **동**5**2**","11470","10300","1","696","142","백*빌*","","2층201호","2001",1,39,544.27,24898
"1153011200100050004","202009","11560-100206158","11710-100480045","서**별**중** **동**1**-**지**","11560","10200","1","118","1","노*리*","","301","2005",0,7,785.56,12639
"1126010200103110000","202004","11590-16810","11440-122482","서**별**중** **동**5**5**지**","11320","10300","1","168","7","밀*니*","","이층201호","2002",1,26,779.46,24288
"1165010700101070104","202009","11530-20865","11590-58123","서**별**마** **동**2**7**지**","11500","13300","1","710","24","","","302","2017",20,33,170.38,17331
"1147010300109430004","202105","11740-21922","11740-100241779","서**별**구** **동**3**2**지**","11680","10200","1","177","4","","B동","502호","2001",4,65,465.39,23555
"1168010100107740045","202009","11680-17488","11350-95446","서**별**양** **동**1**3**","11320","10300","1","1","25","","","603","2020",2,3,329.95,16531
"1154510300109060022","202010","11470-9874","11200-39338","서**별**금** **동**0**1**","11740","10700","1","366","24","세*에*그*","","401","2011",0,48,276.53,26492
"1138010300104800233","202005","11710-100227753","11620-100248604","서**별**성** **동**0**1**번**","11215","10100","1","1087","211","","","501호","2002",21,10,772.29,23040
"1144012500102570003","202005","11680-100212208","11680-60854","서**별**서**구**가** **0**번**","11305","10700","1","417","9","","","202","1991",0,73,885.25,23982
"1138010300100130023","202101","11530-24192","11320-100183577","서**별**영**구**길**9**1**번**","11650","13900","1","715","16","양*동*3*0*5","제A동","402","1994",0,37,299.47,18704
"1153010900101690005","202010","11380-29441","11320-100189717","서**별**영**구**산**가**8**4**지**","11380","10500","1","170","31","","나단지2동","1층2호","2012",0,13,551.46,14264
"1154510300109110020","202104","11710-20074","11650-53874","서**별**도** **동**7**지**","11230","10200","1","270","67","","","301호","1990",1,0,294.71,9354
"1120010900100010169","202001","11440-100253984","11260-52976","서**별**강** **동**3**1**","11545","10200","1","178","30","","","201호","2011",2,35,428.99,14325
"1117013100107320003","202009","11530-10670","11170-40737","서**별**강** **동**0**-**번**","11500","10300","1","33","2","","","A202","2018",1,102,311.18,24021
"1138010500100270024","202011","11620-21467","11290-77223","서**별**용** **동**2**1**","11650","10200","1","193","1","","","101호","2010",16,47,675.73,23402
"1123010300102740016","202001","11320-100198443","11620-93199","서**별**중** **동**5**2**지**","11530","10800","1","494","5","","","302","2002",0,7,399.8,22336
"1141011600104180000","202002","11710-17609","11710-137953","서**별**영**구**길**1**-**번**","11410","10800","1","164","34","조*아*빌","","204","1988",10,5,657.23,21747
"1150010300103410050","202005","11620-11690","11680-100293104","서**별**강** **동**7**1**지**","11305","10600","1","45","195","","공항빌리지","301","2002",0,34,572.55,23334
"1138010700107500009","202105","11200-100202713","11500-100300777","서**별**구** **동**0**5**지**","11290","12500","1","592","56","","노브1","502호","2012",0,28,509.61,17585
"1147010200105230044","202005","11500-15552","11440-100223018","서**별**동**구**두**3**1**번**","11380","10100","1","742","111","","2동","603","2002",8,44,530.1,17111
"1132010600106280017","202005","11200-7453","11530-134960","서**별**관** **동**4**2**지**","11680","10300","1","113","27","","","302호","1991",1,20,716.87,7834
"1123010900102860165","202006","11290-100219332","11350-69416","서**별**송** **동**-**지**","11710","10900","1","420","3","목*빌* *동","B동","삼층301호","2001",1,22,300.63,20528
"1150010300100510044","202004","11500-100286136","11710-65091","서**별**구** **동**9**1**","11530","10600","1","927","68","","","202호","2018",0,24,528.42,11827
"1171010800100650010","202006","11260-13404","11530-51787","서**별**강** **동**3**4**지**","11380","10100","1","502","16","","","402","2017",2,117,283.59,16964
"1174010800105250006","202102","11320-13438","11305-38367","서**별**도** **동**3**4**지**","11305","10900","1","248","2","","","502호","2001",0,13,462.99,12686
"1130510300102520097","202007","11320-4174","11440-99912","서**별**동** **동**9**7**지**","11500","10900","1","325","56","청*파*빌","","303","2000",0,27,224.35,12156
"1135010300103660012","202012","11680-10388","11470-100197540","서**별**중** **동**2**5**지**","11380","10500","1","552","8","맥*푸*빌","","501","2003",0,43,439.21,27883
"1126010300103300022","202006","11305-28201","11680-102147","서**별**중** **동**0**1**번**","11170","10500","1","120","2","","","301","2008",4,37,316.2,25300
"1156013000100200000","202103","11620-100225517","11620-56824","서**별**강** **동**3**3**","11620","10200","1","238","32","성*빌*지","","515","2013",1,13,283.13,20080
"1153010700102710011","202101","11260-100229186","11545-100235200","서**별**관** **동**1**지**","11680","10300","1","569","0","봉*빌*","C동","502호","2003",0,18,330,15887
"1153011000100450032","202002","11590-23633","11590-56754","서**별**금** **동**8**8**","11470","10500","1","1082","12","대*아*빌","","301","2015",0,35,445.9,25025
"1111017000100160004","202104","11305-100209201","11380-100232323","서**별**서** **동**5**2**지**","11710","10200","1","187","19","이*셀","","401","2003",18,28,245.6,19809
"1126010300102930008","202004","11500-100295692","11305-80758","서**별**중** **동**6**번**","11110","10300","1","71","5","녹*빌*","","201","2014",0,9,572.09,17423
"1159010200103660012","202104","11215-15861","11620-77107","서**별**금** **동**3**1**지**","11650","10900","1","346","140","","","301호","2016",5,5,272.55,19211
"1162010200102200021","202012","11500-22109","11320-100210696","서**별**양** **동**1**1**지**","11215","10600","1","206","12","","","205","2001",2,20,295.45,15652
"1126010200102760005","202103","11305-28849","11305-41591","서**별**광** **동**9**1**지**","11500","10700","1","1","8","빌*앤","","301","1994",2,79,472.08,17179
"1147010200102310148","202009","11260-100224016","11710-138496","서**별**서**구**신**1**번**","11380","10500","1","929","28","","B동","4층402호","2001",0,23,383.81,16618
"1174010700104450013","202009","11260-100216514","11680-120746","서**별**광** **동**3**2**지**","11560","10900","1","206","11","명*현*시*(*,*동*","","403","1986",0,41,323.74,41957
"1150010300100240330","202012","11320-13579","11170-100218986","서**별**광** **동**1**1**지**","11350","12400","1","270","4","한*아*빌","","202호","2012",2,0,280.83,11516
"1121510100101620026","202004","11500-100277612","11380-60789","서**별**양** **동**2**1**지**","11590","11300","1","421","82","","","201호","2002",8,34,814.22,20572
"1141011900102820001","202004","11260-100249310","11290-100181349","서**별**서** **동**5**1**지**","11740","10800","1","533","2","청*크*빌*","","302","1990",0,64,266.65,10961
"1129013300101640062","202104","11530-3707","11320-100221977","서**별**도** ** **2**8**","11650","10900","1","463","70","","","나동3층301호","2016",1,2,581.9,21815
"1171010700100750002","202101","11560-29684","11620-71913","서**별**송** **동**6**번**","11380","10100","1","54","4","한*뉴*타","","1층1","2012",1,55,933.63,17218
"1171010300102690005","202006","11560-100260228","11410-88666","서**별**강** **동**3**3**","11470","10300","1","172","7","스*이* *0*동","","502호","1998",9,7,622.08,17049
"1174010800103850028","202006","11215-100257930","11305-100222804","서**별**강** **동**4**8**","11380","11900","1","276","6","에*스*","","503","2003",2,17,845.2,19961
"1162010200105240008","202103","11410-100205716","11560-122392","서**별**은** **동**7**4**","11290","12000","1","5","32","해*채","","401호","2015",13,140,522.16,18664
"1154510300100030100","202104","11680-100210395","11650-91923","서**별**은** **동**0**1**지**","11440","10100","1","1166","3","","대원아트빌","201","2013",1,14,645.16,23541
